datetime,client,opportunity,order_amount
2024-01-02,C001,O001,102
2024-01-05,C001,O001,93
2024-01-07,C001,O001,86
2024-01-09,C001,O001,86
2024-01-10,C001,O001,111
2024-01-11,C001,O001,103
2024-01-12,C001,O001,87
2024-01-13,C001,O001,116
2024-01-14,C001,O001,122
2024-01-15,C001,O001,90
2024-01-16,C001,O001,100
2024-01-17,C001,O001,100
2024-01-19,C001,O001,107
2024-01-20,C001,O001,93
2024-01-21,C001,O001,86
2024-01-22,C001,O001,91
2024-01-23,C001,O001,97
2024-01-24,C001,O001,119
2024-01-25,C001,O001,92
2024-01-27,C001,O001,97
2024-01-29,C001,O001,116
2024-01-30,C001,O001,102
2024-01-31,C001,O001,117
2024-02-01,C001,O001,98
2024-02-03,C001,O001,91
2024-02-05,C001,O001,108
2024-02-07,C001,O001,81
2024-02-08,C001,O001,119
2024-02-11,C001,O001,112
2024-02-13,C001,O001,116
2024-02-14,C001,O001,106
2024-02-15,C001,O001,102
2024-02-20,C001,O001,89
2024-02-21,C001,O001,92
2024-02-23,C001,O001,100
2024-02-24,C001,O001,105
2024-02-26,C001,O001,109
2024-02-28,C001,O001,130
2024-02-29,C001,O001,99
2024-03-01,C001,O001,104
2024-03-03,C001,O001,100
2024-03-04,C001,O001,116
2024-03-05,C001,O001,107
2024-03-06,C001,O001,84
2024-03-10,C001,O001,107
2024-03-11,C001,O001,89
2024-03-12,C001,O001,114
2024-03-13,C001,O001,128
2024-03-15,C001,O001,114
2024-03-16,C001,O001,98
2024-03-17,C001,O001,86
2024-03-18,C001,O001,119
2024-03-20,C001,O001,98
2024-03-21,C001,O001,112
2024-03-22,C001,O001,75
2024-03-23,C001,O001,99
2024-03-25,C001,O001,82
2024-03-28,C001,O001,64
2024-03-29,C001,O001,74
2024-03-30,C001,O001,98
2024-01-05,C001,O002,97
2024-01-06,C001,O002,110
2024-01-07,C001,O002,103
2024-01-09,C001,O002,113
2024-01-10,C001,O002,93
2024-01-11,C001,O002,100
2024-01-12,C001,O002,103
2024-01-13,C001,O002,101
2024-01-14,C001,O002,114
2024-01-16,C001,O002,102
2024-01-18,C001,O002,88
2024-01-19,C001,O002,96
2024-01-21,C001,O002,102
2024-01-23,C001,O002,94
2024-01-24,C001,O002,111
2024-01-25,C001,O002,86
2024-01-26,C001,O002,83
2024-01-27,C001,O002,89
2024-01-29,C001,O002,101
2024-01-30,C001,O002,99
2024-02-03,C001,O002,98
2024-02-04,C001,O002,114
2024-02-05,C001,O002,112
2024-02-08,C001,O002,111
2024-02-09,C001,O002,108
2024-02-10,C001,O002,104
2024-02-11,C001,O002,114
2024-02-12,C001,O002,89
2024-02-13,C001,O002,103
2024-02-14,C001,O002,93
2024-02-15,C001,O002,118
2024-02-16,C001,O002,97
2024-02-17,C001,O002,97
2024-02-19,C001,O002,84
2024-02-20,C001,O002,111
2024-02-21,C001,O002,102
2024-02-23,C001,O002,80
2024-02-24,C001,O002,103
2024-02-27,C001,O002,92
2024-02-28,C001,O002,132
2024-03-01,C001,O002,110
2024-03-03,C001,O002,76
2024-03-05,C001,O002,103
2024-03-07,C001,O002,86
2024-03-08,C001,O002,92
2024-03-09,C001,O002,62
2024-03-10,C001,O002,108
2024-03-12,C001,O002,96
2024-03-14,C001,O002,89
2024-03-15,C001,O002,114
2024-03-16,C001,O002,95
2024-03-17,C001,O002,112
2024-03-19,C001,O002,84
2024-03-21,C001,O002,92
2024-03-22,C001,O002,113
2024-03-25,C001,O002,105
2024-03-27,C001,O002,88
2024-03-28,C001,O002,85
2024-03-30,C001,O002,103
2024-03-31,C001,O002,88
2024-01-01,C001,O003,91
2024-01-03,C001,O003,88
2024-01-05,C001,O003,86
2024-01-07,C001,O003,99
2024-01-08,C001,O003,95
2024-01-10,C001,O003,113
2024-01-11,C001,O003,109
2024-01-12,C001,O003,118
2024-01-13,C001,O003,107
2024-01-17,C001,O003,127
2024-01-19,C001,O003,102
2024-01-20,C001,O003,116
2024-01-22,C001,O003,95
2024-01-24,C001,O003,85
2024-01-25,C001,O003,111
2024-01-28,C001,O003,116
2024-01-31,C001,O003,81
2024-02-02,C001,O003,94
2024-02-04,C001,O003,59
2024-02-06,C001,O003,102
2024-02-07,C001,O003,92
2024-02-08,C001,O003,92
2024-02-10,C001,O003,102
2024-02-11,C001,O003,91
2024-02-12,C001,O003,77
2024-02-14,C001,O003,123
2024-02-15,C001,O003,88
2024-02-16,C001,O003,108
2024-02-19,C001,O003,97
2024-02-20,C001,O003,84
2024-02-21,C001,O003,109
2024-02-23,C001,O003,93
2024-02-25,C001,O003,96
2024-02-26,C001,O003,74
2024-02-27,C001,O003,110
2024-02-28,C001,O003,121
2024-02-29,C001,O003,89
2024-03-01,C001,O003,93
2024-03-02,C001,O003,79
2024-03-03,C001,O003,109
2024-03-05,C001,O003,110
2024-03-06,C001,O003,102
2024-03-07,C001,O003,92
2024-03-08,C001,O003,123
2024-03-10,C001,O003,97
2024-03-11,C001,O003,105
2024-03-13,C001,O003,93
2024-03-14,C001,O003,104
2024-03-15,C001,O003,123
2024-03-16,C001,O003,118
2024-03-18,C001,O003,105
2024-03-19,C001,O003,85
2024-03-20,C001,O003,93
2024-03-21,C001,O003,103
2024-03-23,C001,O003,111
2024-03-24,C001,O003,109
2024-03-25,C001,O003,104
2024-03-26,C001,O003,98
2024-03-27,C001,O003,89
2024-03-30,C001,O003,118
2024-01-01,C002,O001,73
2024-01-02,C002,O001,109
2024-01-04,C002,O001,88
2024-01-05,C002,O001,94
2024-01-06,C002,O001,104
2024-01-07,C002,O001,99
2024-01-09,C002,O001,111
2024-01-10,C002,O001,93
2024-01-11,C002,O001,141
2024-01-12,C002,O001,90
2024-01-14,C002,O001,122
2024-01-15,C002,O001,100
2024-01-18,C002,O001,111
2024-01-19,C002,O001,95
2024-01-21,C002,O001,116
2024-01-22,C002,O001,105
2024-01-23,C002,O001,84
2024-01-24,C002,O001,101
2024-01-26,C002,O001,87
2024-01-27,C002,O001,110
2024-01-29,C002,O001,89
2024-01-30,C002,O001,114
2024-02-02,C002,O001,93
2024-02-04,C002,O001,96
2024-02-05,C002,O001,103
2024-02-07,C002,O001,103
2024-02-09,C002,O001,118
2024-02-10,C002,O001,95
2024-02-12,C002,O001,126
2024-02-13,C002,O001,108
2024-02-14,C002,O001,84
2024-02-15,C002,O001,117
2024-02-16,C002,O001,92
2024-02-18,C002,O001,94
2024-02-19,C002,O001,100
2024-02-20,C002,O001,95
2024-02-22,C002,O001,80
2024-02-23,C002,O001,94
2024-02-25,C002,O001,80
2024-02-26,C002,O001,74
2024-02-27,C002,O001,94
2024-03-01,C002,O001,96
2024-03-04,C002,O001,96
2024-03-06,C002,O001,104
2024-03-07,C002,O001,112
2024-03-08,C002,O001,99
2024-03-10,C002,O001,103
2024-03-11,C002,O001,124
2024-03-12,C002,O001,96
2024-03-13,C002,O001,98
2024-03-16,C002,O001,118
2024-03-17,C002,O001,100
2024-03-18,C002,O001,88
2024-03-20,C002,O001,118
2024-03-23,C002,O001,88
2024-03-24,C002,O001,70
2024-03-27,C002,O001,86
2024-03-28,C002,O001,87
2024-03-29,C002,O001,101
2024-03-30,C002,O001,129
2024-01-01,C002,O002,109
2024-01-02,C002,O002,101
2024-01-05,C002,O002,105
2024-01-07,C002,O002,118
2024-01-08,C002,O002,73
2024-01-09,C002,O002,105
2024-01-10,C002,O002,109
2024-01-12,C002,O002,112
2024-01-13,C002,O002,109
2024-01-15,C002,O002,108
2024-01-16,C002,O002,86
2024-01-19,C002,O002,104
2024-01-20,C002,O002,97
2024-01-21,C002,O002,119
2024-01-22,C002,O002,94
2024-01-23,C002,O002,103
2024-01-25,C002,O002,104
2024-01-27,C002,O002,116
2024-01-31,C002,O002,118
2024-02-01,C002,O002,91
2024-02-03,C002,O002,115
2024-02-04,C002,O002,86
2024-02-05,C002,O002,114
2024-02-06,C002,O002,105
2024-02-07,C002,O002,71
2024-02-08,C002,O002,102
2024-02-11,C002,O002,101
2024-02-12,C002,O002,106
2024-02-14,C002,O002,111
2024-02-15,C002,O002,91
2024-02-17,C002,O002,115
2024-02-20,C002,O002,80
2024-02-22,C002,O002,99
2024-02-23,C002,O002,89
2024-02-24,C002,O002,101
2024-02-25,C002,O002,109
2024-02-27,C002,O002,86
2024-02-28,C002,O002,95
2024-02-29,C002,O002,108
2024-03-01,C002,O002,101
2024-03-02,C002,O002,107
2024-03-03,C002,O002,106
2024-03-05,C002,O002,115
2024-03-06,C002,O002,91
2024-03-07,C002,O002,98
2024-03-09,C002,O002,86
2024-03-10,C002,O002,98
2024-03-11,C002,O002,77
2024-03-12,C002,O002,106
2024-03-13,C002,O002,102
2024-03-16,C002,O002,81
2024-03-17,C002,O002,69
2024-03-18,C002,O002,119
2024-03-20,C002,O002,116
2024-03-22,C002,O002,119
2024-03-23,C002,O002,112
2024-03-24,C002,O002,98
2024-03-26,C002,O002,102
2024-03-27,C002,O002,108
2024-03-29,C002,O002,127
2024-01-01,C002,O003,107
2024-01-02,C002,O003,104
2024-01-03,C002,O003,111
2024-01-04,C002,O003,69
2024-01-05,C002,O003,87
2024-01-06,C002,O003,82
2024-01-07,C002,O003,84
2024-01-08,C002,O003,107
2024-01-09,C002,O003,80
2024-01-10,C002,O003,85
2024-01-12,C002,O003,98
2024-01-13,C002,O003,79
2024-01-15,C002,O003,108
2024-01-16,C002,O003,94
2024-01-17,C002,O003,98
2024-01-19,C002,O003,123
2024-01-20,C002,O003,92
2024-01-23,C002,O003,118
2024-01-25,C002,O003,94
2024-01-27,C002,O003,82
2024-01-28,C002,O003,105
2024-01-29,C002,O003,116
2024-01-30,C002,O003,106
2024-02-01,C002,O003,92
2024-02-02,C002,O003,98
2024-02-03,C002,O003,86
2024-02-04,C002,O003,101
2024-02-05,C002,O003,87
2024-02-06,C002,O003,94
2024-02-07,C002,O003,79
2024-02-10,C002,O003,95
2024-02-11,C002,O003,81
2024-02-13,C002,O003,108
2024-02-15,C002,O003,120
2024-02-16,C002,O003,113
2024-02-17,C002,O003,103
2024-02-18,C002,O003,128
2024-02-19,C002,O003,121
2024-02-20,C002,O003,110
2024-02-21,C002,O003,99
2024-02-22,C002,O003,68
2024-02-25,C002,O003,86
2024-02-27,C002,O003,82
2024-03-01,C002,O003,101
2024-03-02,C002,O003,108
2024-03-08,C002,O003,105
2024-03-09,C002,O003,96
2024-03-11,C002,O003,88
2024-03-13,C002,O003,109
2024-03-14,C002,O003,97
2024-03-18,C002,O003,101
2024-03-19,C002,O003,90
2024-03-21,C002,O003,97
2024-03-24,C002,O003,96
2024-03-25,C002,O003,64
2024-03-26,C002,O003,109
2024-03-27,C002,O003,109
2024-03-29,C002,O003,59
2024-03-30,C002,O003,100
2024-03-31,C002,O003,101
2024-01-01,C003,O001,82
2024-01-02,C003,O001,101
2024-01-03,C003,O001,90
2024-01-06,C003,O001,100
2024-01-07,C003,O001,96
2024-01-08,C003,O001,93
2024-01-10,C003,O001,109
2024-01-11,C003,O001,76
2024-01-13,C003,O001,89
2024-01-14,C003,O001,102
2024-01-15,C003,O001,98
2024-01-16,C003,O001,111
2024-01-17,C003,O001,99
2024-01-19,C003,O001,105
2024-01-21,C003,O001,112
2024-01-22,C003,O001,120
2024-01-23,C003,O001,121
2024-01-24,C003,O001,85
2024-01-27,C003,O001,105
2024-01-29,C003,O001,87
2024-01-31,C003,O001,110
2024-02-01,C003,O001,100
2024-02-03,C003,O001,107
2024-02-04,C003,O001,115
2024-02-05,C003,O001,92
2024-02-06,C003,O001,81
2024-02-07,C003,O001,92
2024-02-08,C003,O001,85
2024-02-09,C003,O001,85
2024-02-10,C003,O001,117
2024-02-12,C003,O001,94
2024-02-13,C003,O001,79
2024-02-15,C003,O001,107
2024-02-18,C003,O001,95
2024-02-19,C003,O001,108
2024-02-20,C003,O001,101
2024-02-21,C003,O001,98
2024-02-23,C003,O001,131
2024-02-24,C003,O001,95
2024-02-26,C003,O001,109
2024-02-27,C003,O001,108
2024-02-28,C003,O001,87
2024-02-29,C003,O001,94
2024-03-03,C003,O001,81
2024-03-06,C003,O001,107
2024-03-07,C003,O001,96
2024-03-09,C003,O001,100
2024-03-10,C003,O001,113
2024-03-11,C003,O001,112
2024-03-12,C003,O001,80
2024-03-15,C003,O001,89
2024-03-18,C003,O001,99
2024-03-19,C003,O001,83
2024-03-20,C003,O001,102
2024-03-21,C003,O001,116
2024-03-26,C003,O001,84
2024-03-28,C003,O001,98
2024-03-29,C003,O001,90
2024-03-30,C003,O001,102
2024-03-31,C003,O001,130
2024-01-01,C003,O002,103
2024-01-02,C003,O002,110
2024-01-05,C003,O002,114
2024-01-07,C003,O002,120
2024-01-08,C003,O002,86
2024-01-09,C003,O002,116
2024-01-10,C003,O002,74
2024-01-12,C003,O002,93
2024-01-14,C003,O002,86
2024-01-16,C003,O002,96
2024-01-17,C003,O002,106
2024-01-19,C003,O002,130
2024-01-20,C003,O002,114
2024-01-21,C003,O002,143
2024-01-22,C003,O002,98
2024-01-23,C003,O002,121
2024-01-24,C003,O002,132
2024-01-26,C003,O002,102
2024-01-28,C003,O002,107
2024-01-30,C003,O002,98
2024-01-31,C003,O002,86
2024-02-03,C003,O002,111
2024-02-04,C003,O002,97
2024-02-05,C003,O002,99
2024-02-06,C003,O002,97
2024-02-07,C003,O002,130
2024-02-11,C003,O002,93
2024-02-12,C003,O002,94
2024-02-14,C003,O002,114
2024-02-15,C003,O002,98
2024-02-19,C003,O002,104
2024-02-21,C003,O002,106
2024-02-23,C003,O002,96
2024-02-24,C003,O002,112
2024-02-25,C003,O002,81
2024-02-26,C003,O002,98
2024-02-28,C003,O002,95
2024-02-29,C003,O002,113
2024-03-01,C003,O002,94
2024-03-02,C003,O002,73
2024-03-04,C003,O002,113
2024-03-05,C003,O002,101
2024-03-06,C003,O002,108
2024-03-07,C003,O002,109
2024-03-08,C003,O002,93
2024-03-09,C003,O002,96
2024-03-10,C003,O002,103
2024-03-12,C003,O002,103
2024-03-13,C003,O002,95
2024-03-14,C003,O002,103
2024-03-15,C003,O002,88
2024-03-20,C003,O002,116
2024-03-21,C003,O002,110
2024-03-22,C003,O002,105
2024-03-23,C003,O002,98
2024-03-25,C003,O002,105
2024-03-26,C003,O002,94
2024-03-28,C003,O002,121
2024-03-29,C003,O002,88
2024-03-30,C003,O002,109
2024-01-01,C003,O003,90
2024-01-02,C003,O003,89
2024-01-03,C003,O003,95
2024-01-04,C003,O003,107
2024-01-07,C003,O003,82
2024-01-08,C003,O003,88
2024-01-10,C003,O003,81
2024-01-12,C003,O003,93
2024-01-13,C003,O003,105
2024-01-14,C003,O003,86
2024-01-15,C003,O003,81
2024-01-16,C003,O003,85
2024-01-20,C003,O003,100
2024-01-22,C003,O003,86
2024-01-23,C003,O003,117
2024-01-25,C003,O003,94
2024-01-27,C003,O003,85
2024-01-28,C003,O003,114
2024-01-30,C003,O003,119
2024-02-01,C003,O003,88
2024-02-02,C003,O003,95
2024-02-05,C003,O003,119
2024-02-07,C003,O003,128
2024-02-09,C003,O003,101
2024-02-10,C003,O003,85
2024-02-11,C003,O003,100
2024-02-12,C003,O003,105
2024-02-14,C003,O003,105
2024-02-15,C003,O003,102
2024-02-16,C003,O003,118
2024-02-17,C003,O003,120
2024-02-19,C003,O003,94
2024-02-20,C003,O003,101
2024-02-22,C003,O003,107
2024-02-23,C003,O003,99
2024-02-24,C003,O003,117
2024-02-25,C003,O003,71
2024-02-29,C003,O003,101
2024-03-02,C003,O003,107
2024-03-03,C003,O003,78
2024-03-06,C003,O003,109
2024-03-07,C003,O003,95
2024-03-10,C003,O003,91
2024-03-11,C003,O003,90
2024-03-12,C003,O003,87
2024-03-13,C003,O003,88
2024-03-14,C003,O003,111
2024-03-15,C003,O003,76
2024-03-17,C003,O003,96
2024-03-18,C003,O003,104
2024-03-19,C003,O003,91
2024-03-20,C003,O003,86
2024-03-23,C003,O003,75
2024-03-24,C003,O003,113
2024-03-25,C003,O003,78
2024-03-26,C003,O003,116
2024-03-27,C003,O003,113
2024-03-28,C003,O003,108
2024-03-29,C003,O003,104
2024-03-30,C003,O003,116
